data,cambio
1999-01-01,1.5011
1999-02-01,1.9129
1999-03-01,1.896
1999-04-01,1.6933
1999-05-01,1.6827
1999-06-01,1.7646
1999-07-01,1.7995
1999-08-01,1.88
1999-09-01,1.8973
1999-10-01,1.9687
1999-11-01,1.9291
1999-12-01,1.842
2000-01-01,1.8029
2000-02-01,1.7745
2000-03-01,1.7412
2000-04-01,1.7674
2000-05-01,1.8271
2000-06-01,1.8075
2000-07-01,1.797
2000-08-01,1.8084
2000-09-01,1.8384
2000-10-01,1.8788
2000-11-01,1.9472
2000-12-01,1.9625
2001-01-01,1.9537
2001-02-01,2.0011
2001-03-01,2.0882
2001-04-01,2.1917
2001-05-01,2.2964
2001-06-01,2.375
2001-07-01,2.4652
2001-08-01,2.5098
2001-09-01,2.6709
2001-10-01,2.7394
2001-11-01,2.5423
2001-12-01,2.3619
2002-01-01,2.3771
2002-02-01,2.4188
2002-03-01,2.3458
2002-04-01,2.3196
2002-05-01,2.4796
2002-06-01,2.7132
2002-07-01,2.9338
2002-08-01,3.1093
2002-09-01,3.3412
2002-10-01,3.8051
2002-11-01,3.5756
2002-12-01,3.6251
2003-01-01,3.4376
2003-02-01,3.59
2003-03-01,3.4461
2003-04-01,3.1179
2003-05-01,2.9549
2003-06-01,2.8824
2003-07-01,2.879
2003-08-01,3.0017
2003-09-01,2.922
2003-10-01,2.8607
2003-11-01,2.913
2003-12-01,2.9245
2004-01-01,2.851
2004-02-01,2.9295
2004-03-01,2.9047
2004-04-01,2.9052
2004-05-01,3.0996
2004-06-01,3.1283
2004-07-01,3.036
2004-08-01,3.0021
2004-09-01,2.8903
2004-10-01,2.8521
2004-11-01,2.7852
2004-12-01,2.7174
2005-01-01,2.6922
2005-02-01,2.597
2005-03-01,2.7039
2005-04-01,2.5784
2005-05-01,2.452
2005-06-01,2.4127
2005-07-01,2.3727
2005-08-01,2.3598
2005-09-01,2.2936
2005-10-01,2.2557
2005-11-01,2.21
2005-12-01,2.2847
2006-01-01,2.2731
2006-02-01,2.1611
2006-03-01,2.1512
2006-04-01,2.1285
2006-05-01,2.1773
2006-06-01,2.2475
2006-07-01,2.1885
2006-08-01,2.1551
2006-09-01,2.1679
2006-10-01,2.1475
2006-11-01,2.1571
2006-12-01,2.1491
2007-01-01,2.1377
2007-02-01,2.0955
2007-03-01,2.0879
2007-04-01,2.0312
2007-05-01,1.9808
2007-06-01,1.9311
