Mês,ipca
janeiro 1999,1468.4100000000000
fevereiro 1999,1483.8300000000000
março 1999,1500.1500000000000
abril 1999,1508.5500000000000
maio 1999,1513.0800000000000
junho 1999,1515.9500000000000
julho 1999,1532.4700000000000
agosto 1999,1541.0500000000000
setembro 1999,1545.8300000000000
outubro 1999,1564.2300000000000
novembro 1999,1579.0900000000000
dezembro 1999,1588.5600000000000
janeiro 2000,1598.4100000000000
fevereiro 2000,1600.4900000000000
março 2000,1604.0100000000000
abril 2000,1610.7500000000000
maio 2000,1610.9100000000000
junho 2000,1614.6200000000000
julho 2000,1640.6200000000000
agosto 2000,1662.1100000000000
setembro 2000,1665.9300000000000
outubro 2000,1668.2600000000000
novembro 2000,1673.6000000000000
dezembro 2000,1683.4700000000000
janeiro 2001,1693.0700000000000
fevereiro 2001,1700.8600000000000
março 2001,1707.3200000000000
abril 2001,1717.2200000000000
maio 2001,1724.2600000000000
junho 2001,1733.2300000000000
julho 2001,1756.2800000000000
agosto 2001,1768.5700000000000
setembro 2001,1773.5200000000000
outubro 2001,1788.2400000000000
novembro 2001,1800.9400000000000
dezembro 2001,1812.6500000000000
janeiro 2002,1822.0800000000000
fevereiro 2002,1828.6400000000000
março 2002,1839.6100000000000
abril 2002,1854.3300000000000
maio 2002,1858.2200000000000
junho 2002,1866.0200000000000
julho 2002,1888.2300000000000
agosto 2002,1900.5000000000000
setembro 2002,1914.1800000000000
outubro 2002,1939.2600000000000
novembro 2002,1997.8300000000000
dezembro 2002,2039.7800000000000
janeiro 2003,2085.6800000000000
fevereiro 2003,2118.4300000000000
março 2003,2144.4900000000000
abril 2003,2165.2900000000000
maio 2003,2178.5000000000000
junho 2003,2175.2300000000000
julho 2003,2179.5800000000000
agosto 2003,2186.9900000000000
setembro 2003,2204.0500000000000
outubro 2003,2210.4400000000000
novembro 2003,2217.9600000000000
dezembro 2003,2229.4900000000000
janeiro 2004,2246.4300000000000
fevereiro 2004,2260.1300000000000
