Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1944.01,,7.79472176678135E-17,
1944.02,,7.90688153466021E-17,
1944.03,,8.01904122249747E-17,
1944.04,,8.13120129264912E-17,
1944.05,,8.24336129557837E-17,
1944.06,,8.35552076245458E-17,
1944.07,,8.46768062067353E-17,
1944.08,,8.57984041984734E-17,
1944.09,,8.74754006162372E-17,
1944.10,,8.97187230702653E-17,
1944.11,,9.08473068794121E-17,
1944.12,,9.14063712017311E-17,
1945.01,,9.30836929061622E-17,
1945.02,,9.3649531879619E-17,
1945.03,,9.30903987871766E-17,
1945.04,,9.3649531879619E-17,
1945.05,,9.47711303347976E-17,
1945.06,,9.58926818255511E-17,
1945.07,,9.70142788233204E-17,
1945.08,,9.75767120244763E-17,
1945.09,,9.81358759221761E-17,
1945.10,,9.92574720741019E-17,
1945.11,,1.00379068343757E-16,
1945.12,,1.01500663705736E-16,
1946.01,,1.02622259200138E-16,
1946.02,,1.0374380785037E-16,
1946.03,,1.04865402121858E-16,
1946.04,,1.05986996544645E-16,
1946.05,,1.08218560004998E-16,
1946.06,,1.11029895042375E-16,
1946.07,,1.1437825401022E-16,
1946.08,,1.18313788658533E-16,
1946.09,,1.20567601304799E-16,
1946.10,,1.21689191848383E-16,
1946.11,,1.22810781746379E-16,
1946.12,,1.2559595578858E-16,
1947.01,,1.28418682986694E-16,
1947.02,,1.29540272098404E-16,
1947.03,,1.28408887417937E-16,
1947.04,,1.26175551025956E-16,
1947.05,,1.25053961333307E-16,
1947.06,,1.23367730029673E-16,
1947.07,,1.22251249941381E-16,
1947.08,,1.22810781746379E-16,
1947.09,,1.23372874472767E-16,
1947.10,,1.23932371852927E-16,
1947.11,,1.25610977692215E-16,
1947.12,,1.28408887417937E-16,
1948.01,,1.31773903145353E-16,
1948.02,,1.34583892154104E-16,
1948.03,,1.35148167786076E-16,
1948.04,,1.34026625963677E-16,
1948.05,,1.34026625963677E-16,
1948.06,,1.34026625963677E-16,
1948.07,,1.34026625963677E-16,
1948.08,,1.34588565121894E-16,
1948.09,,1.34588565121894E-16,
1948.10,,1.35148167786076E-16,
1948.11,,1.36269755480465E-16,
1948.12,,1.37948740685608E-16,
1949.01,,1.39634518401564E-16,
1949.02,,1.40196410446458E-16,
1949.03,,1.40196410446458E-16,
1949.04,,1.40196410446458E-16,
1949.05,,1.40196410446458E-16,
1949.06,,1.40756105498982E-16,
1949.07,,1.41877692822853E-16,
1949.08,,1.42999233601634E-16,
1949.09,,1.45233745631459E-16,
1949.10,,1.50252900147575E-16,
1949.11,,1.53655257714235E-16,
1949.12,,1.547727722552E-16,
1950.01,,1.55898414332885E-16,
1950.02,,1.54206893352833E-16,
1950.03,,1.51971878599684E-16,
1950.04,,1.51971878599684E-16,
1950.05,,1.53093464659092E-16,
1950.06,,1.55328537423066E-16,
1950.07,,1.59247352154551E-16,
1950.08,,1.637340513734E-16,
1950.09,,1.6822077438084E-16,
1950.10,,1.70478886132048E-16,
1950.11,,1.71596799091915E-16,
1950.12,,1.75503568487545E-16,
1951.01,,1.79447961397377E-16,
1951.02,,1.8280239335912E-16,
1951.03,,1.86177465496877E-16,
1951.04,,1.88420662334342E-16,
1951.05,,1.88420662334342E-16,
1951.06,,1.85045670014203E-16,
1951.07,,1.83934267678432E-16,
1951.08,,1.8561923056233E-16,
1951.09,,1.87855701393313E-16,
