Data,PIB - IPCA- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1979.12,,1.29001159764966E-12,
1980.01,,1.36240131816824E-12,
1980.02,,1.43495267292402E-12,
1980.03,,1.51619369162628E-12,
1980.04,,1.59949658108491E-12,
1980.05,,1.68753007944444E-12,
1980.06,,1.7790851630511E-12,
1980.07,,1.87240119811705E-12,
1980.08,,1.95829465286313E-12,
1980.09,,2.09191258499394E-12,
1980.10,,2.26068455641641E-12,
1980.11,,2.41087805367034E-12,
1980.12,,2.57302741698245E-12,
1981.01,,2.74333885516092E-12,
1981.02,,2.89927111808029E-12,
1981.03,,3.06494362365389E-12,
1981.04,,3.24914222932607E-12,
1981.05,,3.42910148496826E-12,
1981.06,,3.63094383345341E-12,
1981.07,,3.84426634996722E-12,
1981.08,,4.05094373728069E-12,
1981.09,,4.26026248830118E-12,
1981.10,,4.48071029207226E-12,
1981.11,,4.73153947337899E-12,
1981.12,,5.03643456753251E-12,
1982.01,,5.3789459895134E-12,
1982.02,,5.71102258717336E-12,
1982.03,,6.04225758063374E-12,
1982.04,,6.42124231391769E-12,
1982.05,,6.86311986467021E-12,
1982.06,,7.32506046160116E-12,
1982.07,,7.77666656685921E-12,
1982.08,,8.20637548534964E-12,
1982.09,,8.59706896048394E-12,
1982.10,,9.01528047012062E-12,
1982.11,,9.60485723773193E-12,
1982.12,,1.03946360623249E-11,
1983.01,,1.12520806247418E-11,
1983.02,,1.21073726522079E-11,
1983.03,,1.29502115378845E-11,
1983.04,,1.37960025489471E-11,
1983.05,,1.49229036074517E-11,
1983.06,,1.64121121498414E-11,
1983.07,,1.79866505148983E-11,
1983.08,,1.97321280918152E-11,
1983.09,,2.16227086425965E-11,
1983.10,,2.33790900345217E-11,
1983.11,,2.5256135477381E-11,
1983.12,,2.75726010502094E-11,
1984.01,,3.02153812832556E-11,
1984.02,,3.30010222474015E-11,
1984.03,,3.60504336854336E-11,
1984.04,,3.94018018399276E-11,
1984.05,,4.31701881271475E-11,
1984.06,,4.74450225020391E-11,
1984.07,,5.19697485395035E-11,
1984.08,,5.74484689763656E-11,
1984.09,,6.3819907752046E-11,
1984.10,,7.05093567800305E-11,
1984.11,,7.84412500985462E-11,
1984.12,,8.77508098199251E-11,
1985.01,,9.76766168558155E-11,
1985.02,,1.07945563619284E-10,
1985.03,,1.17848903107718E-10,
1985.04,,1.26916702138776E-10,
1985.05,,1.3687069162126E-10,
1985.06,,1.49736102600953E-10,
1985.07,,1.66473439884059E-10,
1985.08,,1.85755242438923E-10,
1985.09,,2.05940601960871E-10,
1985.10,,2.31234540845036E-10,
1985.11,,2.64813660149809E-10,
1985.12,,3.037999588654E-10,
1986.01,,3.44938375688788E-10,
1986.02,,3.74846664468753E-10,
1986.03,,3.85176419343474E-10,
1986.04,,3.89371264664573E-10,
1986.05,,3.94571681871672E-10,
1986.06,,4.00454694008744E-10,
1986.07,,4.10976931043886E-10,
1986.08,,4.21786613630955E-10,
1986.09,,4.29418080054204E-10,
1986.10,,4.45145613616848E-10,
1986.11,,4.8301407027793E-10,
1986.12,,5.43036537464406E-10,
1987.01,,6.13209839492136E-10,
1987.02,,7.02059015769786E-10,
1987.03,,8.26517711546272E-10,
1987.04,,9.94049151373889E-10,
1987.05,,1.19860700964057E-09,
1987.06,,1.37049010751614E-09,
1987.07,,1.46667392114826E-09,
1987.08,,1.55930570193504E-09,
1987.09,,1.70723906676855E-09,
1987.10,,1.93145327147395E-09,
1987.11,,2.21370283255818E-09,
1987.12,,2.57886062652614E-09,
1988.01,,3.02458635708189E-09,
1988.02,,3.52806939355124E-09,
1988.03,,4.17871769177868E-09,
1988.04,,4.94555072124049E-09,
1988.05,,5.91922455451636E-09,
1988.06,,7.21879098286058E-09,
1988.07,,8.78886989234357E-09,
1988.08,,1.09408687196064E-08,
1988.09,,1.38436666113077E-08,
1988.10,,1.75502704920909E-08,
1988.11,,2.25204224439039E-08,
1988.12,,2.99572162317584E-08,
1989.01,,3.79595669997409E-08,
1989.02,,4.23966694701354E-08,
1989.03,,4.56070951967811E-08,
1989.04,,5.1546655244946E-08,
1989.05,,6.34890824400428E-08,
1989.06,,8.1389306910653E-08,
1989.07,,1.06368428302388E-07,
1989.08,,1.44258295625306E-07,
1989.09,,2.00029410492089E-07,
1989.10,,2.87519584884748E-07,
