Data,PIB - IPCA- 2020.12=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1979.12,,1.41288085698214E-12,
1980.01,,1.49216545453873E-12,
1980.02,,1.57162708144915E-12,
1980.03,,1.66060603352624E-12,
1980.04,,1.75184324260392E-12,
1980.05,,1.84826163514548E-12,
1980.06,,1.94853703206667E-12,
1980.07,,2.05074110514195E-12,
1980.08,,2.14481562212452E-12,
1980.09,,2.29116021220504E-12,
1980.10,,2.47600714540502E-12,
1980.11,,2.64050606735262E-12,
1980.12,,2.81809961132767E-12,
1981.01,,3.00463264030655E-12,
1981.02,,3.17541692601846E-12,
1981.03,,3.35686917968787E-12,
1981.04,,3.55861208208595E-12,
1981.05,,3.75571185064373E-12,
1981.06,,3.9767790029256E-12,
1981.07,,4.21041977057043E-12,
1981.08,,4.43678248284242E-12,
1981.09,,4.6660381398172E-12,
1981.10,,4.90748285432937E-12,
1981.11,,5.18220267024922E-12,
1981.12,,5.51613799509602E-12,
1982.01,,5.8912724762869E-12,
1982.02,,6.25497825128951E-12,
1982.03,,6.61776226212742E-12,
1982.04,,7.03284401466434E-12,
1982.05,,7.51680891368221E-12,
1982.06,,8.02274779644556E-12,
1982.07,,8.51736786201542E-12,
1982.08,,8.9880051075377E-12,
1982.09,,9.41591082014587E-12,
1982.10,,9.87395556734956E-12,
1982.11,,1.05196875361141E-11,
1982.12,,1.13846901334166E-11,
1983.01,,1.23238034021418E-11,
1983.02,,1.32605591142129E-11,
1983.03,,1.41836755646869E-11,
1983.04,,1.51100253205458E-11,
1983.05,,1.63442599089595E-11,
1983.06,,1.79753105486827E-11,
1983.07,,1.96998183892525E-11,
1983.08,,2.16115468258112E-11,
1983.09,,2.36821988057224E-11,
1983.10,,2.560586960894E-11,
1983.11,,2.7661697307492E-11,
1983.12,,3.01987984232265E-11,
1984.01,,3.30932945713889E-11,
1984.02,,3.61442584540686E-11,
1984.03,,3.94841160597737E-11,
1984.04,,4.31546907420566E-11,
1984.05,,4.72820031295014E-11,
1984.06,,5.1964001079022E-11,
1984.07,,5.69196920302271E-11,
1984.08,,6.29202421338871E-11,
1984.09,,6.98985389910581E-11,
1984.10,,7.72251355058623E-11,
1984.11,,8.59125149447555E-11,
1984.12,,9.61087788707798E-11,
1985.01,,1.06979985592223E-10,
1985.02,,1.18227014944446E-10,
1985.03,,1.29073614160217E-10,
1985.04,,1.39005090504527E-10,
1985.05,,1.4990716395567E-10,
1985.06,,1.63997961994645E-10,
1985.07,,1.8232947427503E-10,
1985.08,,2.03447803573396E-10,
1985.09,,2.25555750596371E-10,
1985.10,,2.53258851957805E-10,
1985.11,,2.90036269266666E-10,
1985.12,,3.32735881611396E-10,
1986.01,,3.77792594064381E-10,
1986.02,,4.10549546605968E-10,
1986.03,,4.21863175837211E-10,
1986.04,,4.26457566045004E-10,
1986.05,,4.32153305473717E-10,
1986.06,,4.38596654700195E-10,
1986.07,,4.50121099369271E-10,
1986.08,,4.6196036781085E-10,
1986.09,,4.70318705704676E-10,
1986.10,,4.87544233861701E-10,
1986.11,,5.29019533461628E-10,
1986.12,,5.94758938464746E-10,
1987.01,,6.71616011135136E-10,
1987.02,,7.68927772168943E-10,
1987.03,,9.05240739484851E-10,
1987.04,,1.08872898463424E-09,
1987.05,,1.31277028985725E-09,
1987.06,,1.50102467382531E-09,
1987.07,,1.60636967171522E-09,
1987.08,,1.70782431759613E-09,
1987.09,,1.86984783712341E-09,
1987.10,,2.11541768957196E-09,
1987.11,,2.42455057060503E-09,
1987.12,,2.82448841443151E-09,
1988.01,,3.31266801941645E-09,
1988.02,,3.86410611915048E-09,
1988.03,,4.57672647610576E-09,
1988.04,,5.41659776858266E-09,
1988.05,,6.48301075470335E-09,
1988.06,,7.9063565078187E-09,
1988.07,,9.62598014469268E-09,
1988.08,,1.1982949611345E-08,
1988.09,,1.51622292242921E-08,
1988.10,,1.92218746391984E-08,
1988.11,,2.46654168226974E-08,
1988.12,,3.28105401683535E-08,
1989.01,,4.15750878914425E-08,
1989.02,,4.64348094259703E-08,
1989.03,,4.99510173889103E-08,
1989.04,,5.6456300524533E-08,
1989.05,,6.95362036824561E-08,
1989.06,,8.91413642378241E-08,
1989.07,,1.16499662801121E-07,
1989.08,,1.57998412356304E-07,
1989.09,,2.19081538051759E-07,
1989.10,,3.14904856848764E-07,
1989.11,,4.71250989497174E-07,
