date,ipca,ipa,igp,capacidade,desemprego,comm,cambio,pimpf,ipcaindice,petro,gfc_dummy,pib,pib_hiato_real,pib_hiato_nom,pib_dessaz,pib_ipca,taxa_juros
2000-01-01,0.00503531043407269,0.0057735634483062626,0.005463186684761645,80.0026970302981,0.125443052589022,55.5724212450119,1.8029,73.1833854904889,1598.41,25.21,0,49367,0.024558799335473225,0.19939910610409584,54116.2456168241,369408.117254783,0.006154347162146273
2000-02-01,0.00202996112437734,-4.8031933877545896e-4,0.001321420637015791,80.520062794523,0.128232750719303,58.042724064283,1.7745,74.9786744458387,1600.49,27.15,0,51269,-2.890672631803426e-4,0.2039072642098656,54477.7835800763,361371.567481792,0.00631906794520018
2000-03-01,0.00298579585524218,0.001936429466161016,0.003489793990223866,80.1831314186234,0.125690394702139,58.487300099091,1.7412,73.6103430165704,1604.01,27.49,0,54284,-0.026102791651481994,0.19025399513137486,53854.7783618821,353168.624131278,0.006935312141685107
2000-04-01,0.00427783339460052,7.217531752274908e-4,0.0018330010696701038,80.3812170064971,0.118598681749632,56.4551399290546,1.7674,75.5028305774729,1610.75,23.45,0,52099,-0.0149751526882973,0.17715951397611818,53268.8220612629,358140.790392688,0.0054986369287128856
2000-05-01,0.0021712410912077002,0.009395711164701837,0.007590725636334561,79.8129687800096,0.117122167572078,59.4040595903128,1.8271,76.2252186802581,1610.91,27.23,0,54569,0.017254082797263592,0.189292500323905,54035.7011467258,370928.219548552,0.005286703344017429
2000-06-01,0.00422403716540283,0.01772159259084205,0.012150556470983176,80.1157914215026,0.116936431704615,61.3221217602032,1.8075,78.1773178810417,1614.62,29.62,0,55104,0.03874834101272917,0.2019594411267569,54843.4564222697,380070.260729637,0.001410091228550403
2000-07-01,0.0127861371334191,0.03023630409042699,0.02492562819122046,80.975730572117,0.115115167075516,59.8455702146376,1.797,78.5724709872324,1640.62,28.16,0,55853,0.02257854355834965,0.21344755512430602,55598.5526937019,375042.668577346,-0.009669768445212695
2000-08-01,0.0119481515870862,0.02253318083733369,0.015058959606249367,80.8092019479377,0.114143620737677,60.7517604011792,1.8084,78.4281945797504,1662.11,29.41,0,57258,0.01812590299011596,0.20650623209516716,55335.9757852279,374443.525514748,-0.0120819907830918
2000-09-01,0.00371099319776146,0.008047140975262046,0.005136554753238265,80.8029202257124,0.110207217990306,63.5818003439737,1.8384,77.4865814821557,1665.93,32.08,0,55947,0.010199925902647067,0.18758200169053652,54420.1669687443,372549.355927515,-0.010860229194402632
2000-10-01,0.00172325712296083,0.005232005576107923,0.0034827339197391893,81.1413839820388,0.112751241667938,62.8624877810642,1.8788,78.9661206177443,1668.26,31.4,0,58193,0.025101919496970382,0.18374943187574644,54335.3264783496,379224.027967733,-0.009661008634176294
2000-11-01,0.00299516790466305,0.0045856254168050725,0.005092583618383273,81.7345985133856,0.107030032346414,63.9327297782617,1.9472,78.3208795799876,1673.6,32.33,0,57145,0.017105956035459613,0.17987206415749313,54250.671136902,377280.275368804,-0.00971671998848922
2000-12-01,0.00452537051682703,0.007890352667977218,0.0062804065538868414,81.8647117653028,0.100153999145331,64.4362742025608,1.9625,81.0385070551473,1683.47,25.28,0,54620,0.013594907902271913,0.21014891610554187,56051.23963334,377034.479405965,-0.012023042331587325
2001-01-01,0.00432128295883421,0.002850259491956386,0.004028132016208552,81.6941504898624,0.102121776672378,63.945196494789,1.9537,79.7502503835916,1693.07,25.95,0,44006,0.015438660057100151,0.04087071807346021,47438.2615044663,378812.964238814,-0.01821669532061193
2001-02-01,0.00512318771010545,0.0036203687529745565,0.003582529512270227,81.8224465030989,0.0995382345615867,60.9836461992125,2.0011,79.9539517379348,1700.86,27.24,0,44227,0.0433927050406151,0.06533412136978001,48735.7431929925,390669.694255665,-0.020259259488064563
2001-03-01,0.00445465009218962,0.011493985548478136,0.009326209130116503,81.368282708609,0.104113439411415,59.0334937333511,2.0882,79.7404325886677,1707.32,25.02,0,47483,0.04149724591846038,0.0378314872946941,47537.6393431857,391050.700114844,-0.01747653149637593
2001-04-01,0.00579517862273458,0.012056091029825744,0.010890882476881636,81.0353751274834,0.106077167684103,59.394886237194,2.1917,79.6287173924162,1717.22,25.66,0,46705,0.038310483201259515,0.029972951134222825,47293.8020708434,390929.099829224,-0.010362294937656613
2001-05-01,0.00619519795448994,0.007779270026320617,0.0068436787722285786,80.7050790895901,0.113468718628801,59.9811472113176,2.2964,79.6301421987244,1724.26,27.55,0,48304,0.03255198888346733,0.037954075929119924,47808.0257810342,389806.422392344,-0.005446115673018476
2001-06-01,0.00740308189908728,0.016027531562873065,0.013068735516183594,80.6136003181738,0.109033650510076,58.4278398181113,2.375,78.4589887060777,1733.23,26.97,0,45024,-0.03379230088254914,-0.020366001935778755,45233.4492043431,365840.257254985,0.00395356144383574
2001-07-01,0.010451810188666,0.020137810091082287,0.01657846179958078,79.9175688659811,0.108195257405324,55.8989135324686,2.4652,79.0617242073768,1756.28,24.8,0,47259,-0.017052116438538434,0.005095233015703471,46544.3195889531,373096.71950714,0.017646736159243337
2001-08-01,0.00648250477017903,0.008048849653460088,0.006275718498049976,79.7144657367432,0.109938795916299,56.1290813265519,2.5098,78.910241936023,1768.57,25.81,0,48406,-0.006223805881880651,0.007273237694063184,46798.2838309736,378258.604746962,0.022781413186630683
